cpu,name,price,ram,rom
R5 - 7520U,Laptop ASUS Vivobook GO 15 E1504FA-NJ454W,"11,390,000",16GB,512GB SSD
R7 - 7435HS,Laptop ASUS TUF Gaming A15 FA506NCR-HN047W,"18,790,000",16GB,512GB SSD
R5 - 7520U,ASUS VivoBook Go 14 E1404FA-NK177W,"10,890,000",16GB,512GB SSD
i5 - 12500H,Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W,"14,290,000",16GB,512GB SSD
i5 - 13500H,Laptop ASUS Vivobook 14 OLED A1405VA-KM257W,"16,390,000",16GB,512GB SSD
i5 - 12500H,Laptop Asus Gaming Vivobook 16X K3605ZC-RP564W,"16,990,000",16GB,512GB SSD
i5 - 13420H,Asus Gaming Vivobook K3605VC-RP431W,"20,490,000",16GB,512GB SSD
N4000,M-SMART MBOOK 1409A,"2,990,000",4GB,128GB SSD
i5 - 12450H,MSI Thin 15 (B12UCX-1419VN),"14,490,000",8GB,512GB SSD
i7 - 13620H,MSI Thin 15 (B13UC-1411VN),"18,490,000",8GB,512GB SSD
i5 - 1335U,MSI Modern 15 B13M-438VN,"11,490,000",8GB,512GB SSD
i7 - 1355U,Asus ExpertBook B1 B1402CVA-NK1280,"13,990,000",8GB,1TB SSD
R7 - 7435HS,Laptop Gaming Lenovo LOQ 15ARP9 83JC003YVN,"25,990,000",24GB,512GB SSD
i7 - 13650HX,Laptop Lenovo LOQ 15IRX9 83DV00UGVN,"27,990,000",24GB,512GB SSD
R5 - 5625U,Laptop Lenovo Ideapad Slim 3 15ABR8 (82XM00MDVN),"11,490,000",16GB,512GB SSD
i5 - 12500H,ASUS Gaming Vivobook K3605ZF-RP634W,"16,290,000",16GB,512GB SSD
13420H,Laptop Lenovo V14 G4 IRU 83A000BHVN,"13,890,000",16GB,512GB SSD
i7 - 13620H,ASUS Gaming TUF FX507VU-LP198W,"23,990,000",8GB,512GB SSD
U7 - 155H,Asus VivoBook S16 OLED S5606MA-MX051W,"23,990,000",16GB,512GB SSD
i5 - 13420H,Laptop Lenovo IdeaPad Slim 3 14IRH10 83K00008VN,"14,690,000",16GB,512GB SSD
i7 - 13620H,HP Victus 15-fa1087TX (8C5M4PA),"23,990,000",16GB,512GB SSD
i5 - 12450HX,Laptop Gaming Lenovo LOQ Essential 15IAX9E - 83LK0036VN,"17,990,000",12GB,512GB SSD
U5 - 226V,ASUS Vivobook S 14 OLED S5406SA-PP060WS,"22,990,000",16GB,512GB
U7 - 155H,ASUS Zenbook 14 OLED UX3405MA-PP152W,"30,490,000",32GB,1TB SSD
i5 - 12450HX,Lenovo LOQ 15IAX9 (83GS001RVN),"18,990,000",12GB,512GB SSD
i5 - 1235U,MSI Modern 15 B12MO-628VN,"12,490,000",16GB,512GB SSD
i5 -1335U,MSI Modern 14 C13M-608VN,"13,490,000",16GB,512GB SSD
i5 - 12450H,MSI Cyborg 15 A12UCX-618VN,"15,790,000",16GB,512GB SSD
i7 - 13620H,Laptop MSI Katana 15 B13VFK-676VN,"25,990,000",16GB,1TB SSD
i5 - 1235U,Dell Inspiron 3520 (71045026),"13,790,000",16GB,512GB SSD
i5 - 1235U,Laptop Dell Inspiron 3520 N5I5057W1,"14,990,000",16GB,512GB SSD
i5 - 1334U,Dell Inspiron 3530 (71043887),"14,790,000",8GB,512GB SSD
i5 - 1334U,Dell Inspiron 15 3530 (N5I5340W1),"15,990,000",16GB,512GB SSD
i5 - 1235U,Laptop Dell Latitude 3540 71038100,"15,790,000",16GB,512GB SSD
i3 - 1215U,HP 15s-fq5231TU (8U241PA),"9,490,000",8GB,256GB SSD
i5 - 1334U,HP 15-FD0237TU (9Q972PA),"14,990,000",8GB,512GB SSD
i5 - 1335U,HP Pavilion 15-eg3094TU (8C5L5PA),"17,490,000",8GB,512GB SSD
